model,sample,orientation,housing,dimming,rack,branch,socket
1,1,d,0,0,1,1,1
1,2,d,0,0,1,1,2
1,3,d,0,0,1,1,3
1,4,d,0,0,1,1,4
1,5,d,0,0,1,1,5
1,6,u,0,0,3,8,1
1,7,u,0,0,3,8,2
1,8,u,0,0,3,8,3
1,9,u,0,0,3,8,4
1,10,u,0,0,3,8,5
1,11,h,0,0,8,1,1
1,12,h,0,0,8,1,2
1,13,h,0,0,8,1,3
1,14,h,0,0,8,1,4
1,15,h,0,0,8,1,5
1,16,u,1,0,1,5,6
1,17,u,1,0,5,5,2
1,18,u,1,0,5,5,3
1,19,u,1,0,5,5,4
1,20,u,1,0,5,5,5
1,21,u,0,1,3,3,1
1,22,u,0,1,3,3,2
1,23,u,0,1,3,3,3
1,24,d,0,1,3,1,1
1,25,d,0,1,3,1,2
1,26,h,0,1,3,6,1
1,27,h,0,1,3,6,2
1,28,u,1,1,4,5,1
1,29,u,1,1,4,5,2
1,30,u,1,1,4,5,3
1,31,d,0,0,1,3,1
2,1,d,0,0,1,1,6
2,2,d,0,0,1,1,7
2,3,d,0,0,1,1,8
2,4,d,0,0,1,1,9
2,5,d,0,0,1,1,10
2,6,u,0,0,3,8,6
2,7,u,0,0,3,8,7
2,8,u,0,0,3,8,8
2,9,u,0,0,3,8,9
2,10,u,0,0,3,8,10
2,11,h,0,0,8,1,6
2,12,h,0,0,8,1,7
2,13,h,0,0,8,1,8
2,14,h,0,0,8,1,9
2,15,h,0,0,8,1,10
2,16,u,1,0,1,5,7
2,17,u,1,0,5,5,7
2,18,u,1,0,5,5,8
2,19,u,1,0,5,5,9
2,20,u,1,0,5,5,10
2,21,u,0,1,3,3,4
2,22,u,0,1,3,3,5
2,23,u,0,1,3,3,6
2,24,d,0,1,3,1,3
2,25,d,0,1,3,1,4
2,26,h,0,1,3,6,3
2,27,h,0,1,3,6,4
2,28,u,1,1,4,5,4
2,29,u,1,1,4,5,5
2,30,u,1,1,4,5,6
2,31,d,0,0,1,3,2
3,1,d,0,0,4,4,1
3,2,d,0,0,4,4,2
3,3,d,0,0,4,4,3
3,4,d,0,0,4,4,4
3,5,d,0,0,4,4,5
3,6,u,0,0,8,6,1
3,7,u,0,0,8,6,2
3,8,u,0,0,8,6,3
3,9,u,0,0,8,6,4
3,10,u,0,0,8,6,5
3,11,h,0,0,8,2,1
3,12,h,0,0,8,2,2
3,13,h,0,0,8,2,3
3,14,h,0,0,8,2,4
3,15,h,0,0,8,2,5
3,16,u,1,0,1,5,8
3,17,u,1,0,5,6,2
3,18,u,1,0,5,6,3
3,19,u,1,0,5,6,4
3,20,u,1,0,5,6,5
3,21,u,0,1,3,3,7
3,22,u,0,1,3,3,8
3,23,u,0,1,3,3,9
3,24,d,0,1,3,1,5
3,25,d,0,1,3,1,6
3,26,h,0,1,3,6,5
3,27,h,0,1,3,6,6
3,28,u,1,1,4,5,7
3,29,u,1,1,4,5,8
3,30,u,1,1,4,5,9
3,31,d,0,0,1,3,3
4,1,d,0,0,4,4,6
4,2,d,0,0,4,4,7
4,3,d,0,0,4,4,8
4,4,d,0,0,4,4,9
4,5,d,0,0,4,4,10
4,6,u,0,0,8,6,6
4,7,u,0,0,8,6,7
4,8,u,0,0,8,6,8
4,9,u,0,0,8,6,9
4,10,u,0,0,8,6,10
4,11,h,0,0,8,2,6
4,12,h,0,0,8,2,7
4,13,h,0,0,8,2,8
4,14,h,0,0,8,2,9
4,15,h,0,0,8,2,10
4,16,u,1,0,1,5,9
4,17,u,1,0,5,6,7
4,18,u,1,0,5,6,8
4,19,u,1,0,5,6,9
4,20,u,1,0,5,6,10
4,21,u,0,1,3,3,10
4,22,u,0,1,3,4,1
4,23,u,0,1,3,4,2
4,24,d,0,1,3,1,7
4,25,d,0,1,3,1,8
4,26,h,0,1,3,6,7
4,27,h,0,1,3,6,8
4,28,u,1,1,4,5,10
4,29,u,1,1,4,6,1
4,30,u,1,1,4,6,2
4,31,d,0,0,1,3,4
5,1,d,0,0,4,3,1
5,2,d,0,0,4,3,2
5,3,d,0,0,4,3,3
5,4,d,0,0,4,3,4
5,5,d,0,0,4,3,5
5,6,u,0,0,8,7,1
5,7,u,0,0,8,7,2
5,8,u,0,0,8,7,3
5,9,u,0,0,8,7,4
5,10,u,0,0,8,7,5
5,11,h,0,0,8,3,1
5,12,h,0,0,8,3,2
