project,model,sample,orientation,housing,dimming,rack,branch,socket,manufacturer,productName,lampShapeSize,lastHours
ledLifeTesting,1,1,d,0,0,1,1,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,2,d,0,0,1,1,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,3,d,0,0,1,1,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,4,d,0,0,1,1,4,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,5,d,0,0,1,1,5,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,6,u,0,0,3,8,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,7,u,0,0,3,8,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,8,u,0,0,3,8,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,9,u,0,0,3,8,4,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,10,u,0,0,3,8,5,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,11,h,0,0,8,1,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,12,h,0,0,8,1,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,13,h,0,0,8,1,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,14,h,0,0,8,1,4,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,15,h,0,0,8,1,5,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,16,u,1,0,1,5,6,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,17,u,1,0,5,5,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,18,u,1,0,5,5,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,19,u,1,0,5,5,4,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,20,u,1,0,5,5,5,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,21,u,0,1,3,3,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,22,u,0,1,3,3,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,23,u,0,1,3,3,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,24,d,0,1,3,1,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,25,d,0,1,3,1,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,26,h,0,1,3,6,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,27,h,0,1,3,6,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,28,u,1,1,4,5,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,29,u,1,1,4,5,2,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,30,u,1,1,4,5,3,CREE,LRP-38,PAR38,3000
ledLifeTesting,1,31,d,0,0,1,3,1,CREE,LRP-38,PAR38,3000
ledLifeTesting,2,1,d,0,0,1,1,6,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,2,d,0,0,1,1,7,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,3,d,0,0,1,1,8,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,4,d,0,0,1,1,9,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,5,d,0,0,1,1,10,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,6,u,0,0,3,8,6,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,7,u,0,0,3,8,7,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,8,u,0,0,3,8,8,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,9,u,0,0,3,8,9,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,10,u,0,0,3,8,10,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,11,h,0,0,8,1,6,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,12,h,0,0,8,1,7,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,13,h,0,0,8,1,8,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,14,h,0,0,8,1,9,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,15,h,0,0,8,1,10,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,16,u,1,0,1,5,7,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,17,u,1,0,5,5,7,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,18,u,1,0,5,5,8,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,19,u,1,0,5,5,9,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,20,u,1,0,5,5,10,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,21,u,0,1,3,3,4,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
ledLifeTesting,2,22,u,0,1,3,3,5,Sylvania,LED10PAR30/DIM/SG/830/WSP15,PAR30,3000
